0.4236 	INFO 	Loaded SoundDevice with PortAudio V19.6.0-devel, revision 396fe4b6699ae929d3a685b3ef8a7e97396139a4
209.1228 	EXP 	text_same_practice_3: text = ''
209.1228 	EXP 	text_12: autoDraw = True
209.1228 	EXP 	image_4: autoDraw = True
209.1228 	EXP 	text_same_practice_3: autoDraw = True
209.3596 	DATA 	Keypress: d
209.8262 	DATA 	Keypress: f
209.8268 	EXP 	New trial (rep=0, index=3): OrderedDict([('Stimulus_Practice', 'left_schema_1_WHI.jpg'), ('Format', 'schema'), ('Direction', 'left'), ('Number', 1), ('Background', '_WHI')])
209.8712 	EXP 	text_12: autoDraw = False
209.8712 	EXP 	image_4: autoDraw = False
209.8712 	EXP 	text_same_practice_3: autoDraw = False
209.8712 	EXP 	fixation_3: autoDraw = False
209.8712 	EXP 	image_4: image = 'Extra_Stimuli//left_schema_1_WHI.jpg'
209.8712 	EXP 	text_same_practice_3: text = 'SAME / DIFFERENT?'
209.8712 	EXP 	text_12: autoDraw = True
209.8712 	EXP 	image_4: autoDraw = True
209.8712 	EXP 	text_same_practice_3: autoDraw = True
210.4126 	DATA 	Keypress: d
210.7433 	DATA 	Keypress: f
210.7616 	EXP 	text_12: autoDraw = False
210.7616 	EXP 	image_4: autoDraw = False
210.7616 	EXP 	text_same_practice_3: autoDraw = False
210.7616 	EXP 	fixation_3: autoDraw = True
210.8955 	DATA 	Keypress: f
211.7569 	EXP 	New trial (rep=0, index=4): OrderedDict([('Stimulus_Practice', 'right_schema_2_WHI.jpg'), ('Format', 'schema'), ('Direction', 'right'), ('Number', 2), ('Background', '_WHI')])
211.7912 	EXP 	fixation_3: autoDraw = False
211.7912 	EXP 	image_4: image = 'Extra_Stimuli//right_schema_2_WHI.jpg'
211.7912 	EXP 	text_same_practice_3: text = ''
211.7912 	EXP 	text_12: autoDraw = True
211.7912 	EXP 	image_4: autoDraw = True
211.7912 	EXP 	text_same_practice_3: autoDraw = True
212.5093 	DATA 	Keypress: f
212.5100 	EXP 	New trial (rep=0, index=5): OrderedDict([('Stimulus_Practice', 'right_schema_3_WHI.jpg'), ('Format', 'schema'), ('Direction', 'right'), ('Number', 3), ('Background', '_WHI')])
212.5544 	EXP 	text_12: autoDraw = False
212.5544 	EXP 	image_4: autoDraw = False
212.5544 	EXP 	text_same_practice_3: autoDraw = False
212.5544 	EXP 	fixation_3: autoDraw = False
212.5544 	EXP 	image_4: image = 'Extra_Stimuli//right_schema_3_WHI.jpg'
212.5544 	EXP 	text_same_practice_3: text = 'SAME / DIFFERENT?'
212.5544 	EXP 	text_12: autoDraw = True
212.5544 	EXP 	image_4: autoDraw = True
212.5544 	EXP 	text_same_practice_3: autoDraw = True
212.6284 	DATA 	Keypress: f
212.6474 	EXP 	text_12: autoDraw = False
212.6474 	EXP 	image_4: autoDraw = False
212.6474 	EXP 	text_same_practice_3: autoDraw = False
212.6474 	EXP 	fixation_3: autoDraw = True
213.6453 	EXP 	New trial (rep=0, index=6): OrderedDict([('Stimulus_Practice', 'ahead_schema_3_WHI.jpg'), ('Format', 'schema'), ('Direction', 'ahead'), ('Number', 3), ('Background', '_WHI')])
213.6808 	EXP 	fixation_3: autoDraw = False
213.6808 	EXP 	image_4: image = 'Extra_Stimuli//ahead_schema_3_WHI.jpg'
213.6808 	EXP 	text_same_practice_3: text = ''
213.6808 	EXP 	text_12: autoDraw = True
213.6808 	EXP 	image_4: autoDraw = True
213.6808 	EXP 	text_same_practice_3: autoDraw = True
213.9275 	DATA 	Keypress: f
213.9282 	EXP 	New trial (rep=0, index=7): OrderedDict([('Stimulus_Practice', 'ahead_schema_1_WHI.jpg'), ('Format', 'schema'), ('Direction', 'ahead'), ('Number', 1), ('Background', '_WHI')])
213.9743 	EXP 	text_12: autoDraw = False
213.9743 	EXP 	image_4: autoDraw = False
213.9743 	EXP 	text_same_practice_3: autoDraw = False
213.9743 	EXP 	fixation_3: autoDraw = False
213.9743 	EXP 	image_4: image = 'Extra_Stimuli//ahead_schema_1_WHI.jpg'
213.9743 	EXP 	text_same_practice_3: text = 'SAME / DIFFERENT?'
213.9743 	EXP 	text_12: autoDraw = True
213.9743 	EXP 	image_4: autoDraw = True
213.9743 	EXP 	text_same_practice_3: autoDraw = True
214.0415 	DATA 	Keypress: f
214.0600 	EXP 	text_12: autoDraw = False
214.0600 	EXP 	image_4: autoDraw = False
214.0600 	EXP 	text_same_practice_3: autoDraw = False
214.0600 	EXP 	fixation_3: autoDraw = True
215.0932 	EXP 	New trial (rep=1, index=0): None
215.1381 	DATA 	Keypress: f
215.1521 	EXP 	fixation_3: autoDraw = False
215.1521 	EXP 	text_6: text = 'Ok, before we practice one more time - do you have any questions about the task?'
215.1521 	EXP 	text_6: autoDraw = True
215.2575 	DATA 	Keypress: f
215.4928 	DATA 	Keypress: f
215.9450 	DATA 	Keypress: d
215.9563 	DEBUG 	Read excel file with pandas: Extra_Stimuli//practice_order_WHI_schema_2.xlsx
215.9572 	DEBUG 	Clearing unnamed columns from Extra_Stimuli//practice_order_WHI_schema_2.xlsx
215.9578 	EXP 	Imported Extra_Stimuli//practice_order_WHI_schema_2.xlsx as conditions, 8 conditions, 5 params
215.9581 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
215.9584 	EXP 	New trial (rep=0, index=0): OrderedDict([('Stimulus_Practice', 'right_schema_3_WHI.jpg'), ('Format', 'schema'), ('Direction', 'right'), ('Number', 3), ('Background', '_WHI')])
215.9880 	EXP 	text_6: autoDraw = False
215.9880 	EXP 	image: image = 'Extra_Stimuli//right_schema_3_WHI.jpg'
215.9880 	EXP 	text_same_practice: text = ''
215.9880 	EXP 	text_9: autoDraw = True
215.9880 	EXP 	image: autoDraw = True
215.9880 	EXP 	text_same_practice: autoDraw = True
216.4732 	DATA 	Keypress: f
216.4739 	EXP 	New trial (rep=0, index=1): OrderedDict([('Stimulus_Practice', 'right_schema_2_WHI.jpg'), ('Format', 'schema'), ('Direction', 'right'), ('Number', 2), ('Background', '_WHI')])
216.5196 	EXP 	text_9: autoDraw = False
216.5196 	EXP 	image: autoDraw = False
216.5196 	EXP 	text_same_practice: autoDraw = False
216.5196 	EXP 	fixation_1: autoDraw = False
216.5196 	EXP 	image: image = 'Extra_Stimuli//right_schema_2_WHI.jpg'
216.5196 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
216.5196 	EXP 	text_9: autoDraw = True
216.5196 	EXP 	image: autoDraw = True
216.5196 	EXP 	text_same_practice: autoDraw = True
216.5946 	DATA 	Keypress: f
216.6137 	EXP 	text_9: autoDraw = False
216.6137 	EXP 	image: autoDraw = False
216.6137 	EXP 	text_same_practice: autoDraw = False
216.6137 	EXP 	fixation_1: autoDraw = True
217.6079 	EXP 	New trial (rep=0, index=2): OrderedDict([('Stimulus_Practice', 'left_schema_3_WHI.jpg'), ('Format', 'schema'), ('Direction', 'left'), ('Number', 3), ('Background', '_WHI')])
217.6439 	EXP 	fixation_1: autoDraw = False
217.6439 	EXP 	image: image = 'Extra_Stimuli//left_schema_3_WHI.jpg'
217.6439 	EXP 	text_same_practice: text = ''
217.6439 	EXP 	text_9: autoDraw = True
217.6439 	EXP 	image: autoDraw = True
217.6439 	EXP 	text_same_practice: autoDraw = True
217.8741 	DATA 	Keypress: f
217.8747 	EXP 	New trial (rep=0, index=3): OrderedDict([('Stimulus_Practice', 'ahead_schema_1_WHI.jpg'), ('Format', 'schema'), ('Direction', 'ahead'), ('Number', 1), ('Background', '_WHI')])
217.9205 	EXP 	text_9: autoDraw = False
217.9205 	EXP 	image: autoDraw = False
217.9205 	EXP 	text_same_practice: autoDraw = False
217.9205 	EXP 	fixation_1: autoDraw = False
217.9205 	EXP 	image: image = 'Extra_Stimuli//ahead_schema_1_WHI.jpg'
217.9205 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
217.9205 	EXP 	text_9: autoDraw = True
217.9205 	EXP 	image: autoDraw = True
217.9205 	EXP 	text_same_practice: autoDraw = True
217.9577 	DATA 	Keypress: f
217.9760 	EXP 	text_9: autoDraw = False
217.9760 	EXP 	image: autoDraw = False
217.9760 	EXP 	text_same_practice: autoDraw = False
217.9760 	EXP 	fixation_1: autoDraw = True
218.7398 	DATA 	Keypress: escape
218.7877 	EXP 	window1: mouseVisible = True
218.7878 	DEBUG 	Saving data for Arrows_VVA_Direction ExperimentHandler
218.7903 	INFO 	saved data to C:\Users\smwei\Dropbox\Penn Post Doc\Arrows_VVA\data_Arrows_VVA_Direction\1004_2018_Nov_02_1444.psydat
218.9819 	INFO 	saved data to 'C:\\Users\\smwei\\Dropbox\\Penn Post Doc\\Arrows_VVA\\data_Arrows_VVA_Direction\\1004_2018_Nov_02_1444.csv'
